id	taxonID	scientificName	order	family	vernacularName	taxonRemarks	bibliographicCitation
34249343-5dc6-4ed1-8ac3-d54170f1495e	34249343-5dc6-4ed1-8ac3-d54170f1495e	Ciconia boyciana	Ciconiiformes	Ciconiidae	Oriental Stork, 東方白鸛	Ciconia boyciana	Xu, X. et al. Exploring conservation strategies for Oriental White Stork fledglings (Ciconia boyciana) across the breeding wetland landscape: Hints from tracking movement patterns. Glob. Ecol. Conserv. 26, e01531 (2021). https://doi.org/10.1016/j.gecco.2021.e01531
891652df-6254-4281-bae5-f700c29ec951	891652df-6254-4281-bae5-f700c29ec951	Urile pelagicus	Suliformes	Phalacrocoracidae	Pelagic Cormorant, 海鸕鷀	Urile pelagicus	Severinghaus, L. L. et al. The Avifauna of Taiwan (Forest Bureau, Council of Agriculture, 2012) | Hsiao, M. C. & Li, C. A Field Guide to the Birds of Taiwan (Forest Bureau, Council of Agriculture, Wild Bird Society Of Taipei, 2015) | Billerman, S. M., Keeney, B. K., Rodewald, P. G. & Schulenberg, T. S. Birds of the World https://birdsoftheworld.org/bow/home (2022)
e29994a6-2e60-401b-9e85-ecfaaf2a9623	e29994a6-2e60-401b-9e85-ecfaaf2a9623	Phalacrocorax carbo	Suliformes	Phalacrocoracidae	Great Cormorant, 鸕鷀	Phalacrocorax carbo	Severinghaus, L. L. et al. The Avifauna of Taiwan (Forest Bureau, Council of Agriculture, 2012) | Hsiao, M. C. & Li, C. A Field Guide to the Birds of Taiwan (Forest Bureau, Council of Agriculture, Wild Bird Society Of Taipei, 2015) | Billerman, S. M., Keeney, B. K., Rodewald, P. G. & Schulenberg, T. S. Birds of the World https://birdsoftheworld.org/bow/home (2022)
5a2856b5-0583-464d-adac-a646da5a04a6	5a2856b5-0583-464d-adac-a646da5a04a6	Phalacrocorax capillatus	Suliformes	Phalacrocoracidae	Japanese Cormorant, 丹氏鸕鷀	Phalacrocorax capillatus	Severinghaus, L. L. et al. The Avifauna of Taiwan (Forest Bureau, Council of Agriculture, 2012) | Hsiao, M. C. & Li, C. A Field Guide to the Birds of Taiwan (Forest Bureau, Council of Agriculture, Wild Bird Society Of Taipei, 2015) | Billerman, S. M., Keeney, B. K., Rodewald, P. G. & Schulenberg, T. S. Birds of the World https://birdsoftheworld.org/bow/home (2022)
b0d827b9-8ed4-4706-8bd0-bbb5ce82916f	b0d827b9-8ed4-4706-8bd0-bbb5ce82916f	Botaurus stellaris	Pelecaniformes	Ardeidae	Great Bittern, 大麻鷺	Botaurus stellaris	Severinghaus, L. L. et al. The Avifauna of Taiwan (Forest Bureau, Council of Agriculture, 2012) | Hsiao, M. C. & Li, C. A Field Guide to the Birds of Taiwan (Forest Bureau, Council of Agriculture, Wild Bird Society Of Taipei, 2015) | Billerman, S. M., Keeney, B. K., Rodewald, P. G. & Schulenberg, T. S. Birds of the World https://birdsoftheworld.org/bow/home (2022)
2b511cbe-ead3-48db-b597-0d9c60fee3d4	2b511cbe-ead3-48db-b597-0d9c60fee3d4	Ixobrychus sinensis	Pelecaniformes	Ardeidae	Yellow Bittern, 黃小鷺	Ixobrychus sinensis	Lansdown, R. V. & Rajanathan, R. Some aspects of the ecology of Ixobrychus bitterns nesting in Malaysia ricefields. Col. Waterbirds 16, 98-101 (1993). | Kim, M. & Yoo, J. C. Diet of yellow bitterns (Ixobrychus sinensis) during the breeding season in South Korea. J. Ecol. Environ. 35, 9-14 (2012). https://doi.org/10.5141/JEFB.2012.002
715ee30f-e179-4be4-9761-b371d82db40d	715ee30f-e179-4be4-9761-b371d82db40d	Ixobrychus eurhythmus	Pelecaniformes	Ardeidae	Schrenck's Bittern, 秋小鷺	Ixobrychus eurhythmus	Severinghaus, L. L. et al. The Avifauna of Taiwan (Forest Bureau, Council of Agriculture, 2012) | Hsiao, M. C. & Li, C. A Field Guide to the Birds of Taiwan (Forest Bureau, Council of Agriculture, Wild Bird Society Of Taipei, 2015) | Billerman, S. M., Keeney, B. K., Rodewald, P. G. & Schulenberg, T. S. Birds of the World https://birdsoftheworld.org/bow/home (2022)
5cecf8f8-6e48-4a4c-88f4-e9a12167ce18	5cecf8f8-6e48-4a4c-88f4-e9a12167ce18	Ixobrychus cinnamomeus	Pelecaniformes	Ardeidae	Cinnamon Bittern, 栗小鷺	Ixobrychus cinnamomeus	Lansdown, R. V. & Rajanathan, R. Some aspects of the ecology of Ixobrychus bitterns nesting in Malaysia ricefields. Col. Waterbirds 16, 98-101 (1993).
80b29fc6-d9bc-4455-811b-3eccece9154c	80b29fc6-d9bc-4455-811b-3eccece9154c	Ixobrychus flavicollis	Pelecaniformes	Ardeidae	Black Bittern, 黃頸黑鷺	Ixobrychus flavicollis	Severinghaus, L. L. et al. The Avifauna of Taiwan (Forest Bureau, Council of Agriculture, 2012) | Hsiao, M. C. & Li, C. A Field Guide to the Birds of Taiwan (Forest Bureau, Council of Agriculture, Wild Bird Society Of Taipei, 2015) | Billerman, S. M., Keeney, B. K., Rodewald, P. G. & Schulenberg, T. S. Birds of the World https://birdsoftheworld.org/bow/home (2022)
5eefe837-78c0-4bd1-ac0e-804b37172fa1	5eefe837-78c0-4bd1-ac0e-804b37172fa1	Ardea cinerea	Pelecaniformes	Ardeidae	Gray Heron, 蒼鷺	Ardea cinerea	Severinghaus, L. L. et al. The Avifauna of Taiwan (Forest Bureau, Council of Agriculture, 2012) | Hsiao, M. C. & Li, C. A Field Guide to the Birds of Taiwan (Forest Bureau, Council of Agriculture, Wild Bird Society Of Taipei, 2015) | Billerman, S. M., Keeney, B. K., Rodewald, P. G. & Schulenberg, T. S. Birds of the World https://birdsoftheworld.org/bow/home (2022)
b09ebbe9-bc2a-49c4-be78-5a387805cd26	b09ebbe9-bc2a-49c4-be78-5a387805cd26	Ardea purpurea	Pelecaniformes	Ardeidae	Purple Heron, 紫鷺	Ardea purpurea	Severinghaus, L. L. et al. The Avifauna of Taiwan (Forest Bureau, Council of Agriculture, 2012) | Hsiao, M. C. & Li, C. A Field Guide to the Birds of Taiwan (Forest Bureau, Council of Agriculture, Wild Bird Society Of Taipei, 2015) | Billerman, S. M., Keeney, B. K., Rodewald, P. G. & Schulenberg, T. S. Birds of the World https://birdsoftheworld.org/bow/home (2022)
65738f69-a860-48ce-95ef-17064aee4602	65738f69-a860-48ce-95ef-17064aee4602	Ardea alba	Pelecaniformes	Ardeidae	Great Egret, 大白鷺	Ardea alba	Yen, L. F. Diet analysis of five heron chicks in south-west coast in Tainan. Master thesis, National Cheng Kung University, (2014).
78daf647-2144-4898-9e41-9f589e2509bd	78daf647-2144-4898-9e41-9f589e2509bd	Ardea intermedia	Pelecaniformes	Ardeidae	Intermediate Egret, 中白鷺	Ardea intermedia	Yen, L. F. Diet analysis of five heron chicks in south-west coast in Tainan. Master thesis, National Cheng Kung University, (2014).
